iter	MultiClass
0	1.928140747
1	1.920301863
2	1.916933693
3	1.915536352
4	1.914989524
5	1.91477096
6	1.91469306
7	1.914667093
8	1.914656262
9	1.914650291
10	1.914649597
11	1.91464807
12	1.914652791
13	1.914648764
14	1.914651124
15	1.914648208
16	1.914649458
17	1.914650569
18	1.914646681
19	1.91464807
20	1.914648486
21	1.91464807
22	1.914647931
23	1.914647236
24	1.91464807
25	1.914648208
26	1.914648208
27	1.914648208
28	1.914648208
29	1.914648208
30	1.914648208
31	1.914648208
32	1.914648208
33	1.914648208
34	1.914648208
35	1.914648208
36	1.914648208
37	1.914648208
38	1.914648208
39	1.914648208
40	1.914648208
41	1.914648208
42	1.914648208
43	1.914648208
44	1.914648208
45	1.914648208
46	1.914648208
47	1.914648208
48	1.914648208
49	1.914648208
50	1.914648208
51	1.914648208
52	1.914648208
53	1.914648208
54	1.914648208
55	1.914648208
56	1.914648208
57	1.914648208
58	1.914648208
59	1.914648208
60	1.914648208
61	1.914648208
62	1.914648208
63	1.914648208
64	1.914648208
65	1.914648208
66	1.914648208
67	1.914648208
68	1.914648208
69	1.914648208
70	1.914648208
71	1.914648208
72	1.914648208
73	1.914648208
74	1.914648208
75	1.914648208
76	1.914648208
77	1.914648208
78	1.914648208
79	1.914648208
80	1.914648208
81	1.914648208
82	1.914648208
83	1.914648208
84	1.914648208
85	1.914648208
86	1.914648208
87	1.914648208
88	1.914648208
89	1.914648208
90	1.914648208
91	1.914648208
92	1.914648208
93	1.914648208
94	1.914648208
95	1.914648208
96	1.914648208
97	1.914648208
98	1.914648208
99	1.914648208
100	1.914648208
101	1.914648208
102	1.914648208
103	1.914648208
104	1.914648208
105	1.914648208
106	1.914648208
107	1.914648208
108	1.914648208
109	1.914648208
110	1.914648208
111	1.914648208
112	1.914648208
113	1.914648208
114	1.914648208
115	1.914648208
116	1.914648208
117	1.914648208
118	1.914648208
119	1.914648208
120	1.914648208
121	1.914648208
122	1.914648208
123	1.914648208
124	1.914648208
125	1.914648208
126	1.914648208
127	1.914648208
128	1.914648208
129	1.914648208
130	1.914648208
131	1.914648208
132	1.914648208
133	1.914648208
134	1.914648208
135	1.914648208
136	1.914648208
137	1.914648208
138	1.914648208
139	1.914648208
140	1.914648208
141	1.914648208
142	1.914648208
143	1.914648208
144	1.914648208
145	1.914648208
146	1.914648208
147	1.914648208
148	1.914648208
149	1.914648208
150	1.914648208
151	1.914648208
152	1.914648208
153	1.914648208
154	1.914648208
155	1.914648208
156	1.914648208
157	1.914648208
158	1.914648208
159	1.914648208
160	1.914648208
161	1.914648208
162	1.914648208
163	1.914648208
164	1.914648208
165	1.914648208
166	1.914648208
167	1.914648208
168	1.914648208
169	1.914648208
170	1.914648208
171	1.914648208
172	1.914648208
173	1.914648208
174	1.914648208
175	1.914648208
176	1.914648208
177	1.914648208
178	1.914648208
179	1.914648208
180	1.914648208
181	1.914648208
182	1.914648208
183	1.914648208
184	1.914648208
185	1.914648208
186	1.914648208
187	1.914648208
188	1.914648208
189	1.914648208
190	1.914648208
191	1.914648208
192	1.914648208
193	1.914648208
194	1.914648208
195	1.914648208
196	1.914648208
197	1.914648208
198	1.914648208
199	1.914648208
200	1.914648208
201	1.914648208
202	1.914648208
203	1.914648208
204	1.914648208
205	1.914648208
206	1.914648208
207	1.914648208
208	1.914648208
209	1.914648208
210	1.914648208
211	1.914648208
212	1.914648208
213	1.914648208
214	1.914648208
215	1.914648208
216	1.914648208
217	1.914648208
218	1.914648208
219	1.914648208
220	1.914648208
221	1.914648208
222	1.914648208
223	1.914648208
224	1.914648208
225	1.914648208
226	1.914648208
227	1.914648208
228	1.914648208
229	1.914648208
230	1.914648208
231	1.914648208
232	1.914648208
233	1.914648208
234	1.914648208
235	1.914648208
236	1.914648208
237	1.914648208
238	1.914648208
239	1.914648208
240	1.914648208
241	1.914648208
242	1.914648208
243	1.914648208
244	1.914648208
245	1.914648208
246	1.914648208
247	1.914648208
248	1.914648208
249	1.914648208
250	1.914648208
251	1.914648208
252	1.914648208
253	1.914648208
254	1.914648208
255	1.914648208
256	1.914648208
257	1.914648208
258	1.914648208
259	1.914648208
260	1.914648208
261	1.914648208
262	1.914648208
263	1.914648208
264	1.914648208
265	1.914648208
266	1.914648208
267	1.914648208
268	1.914648208
269	1.914648208
270	1.914648208
271	1.914648208
272	1.914648208
273	1.914648208
274	1.914648208
275	1.914648208
276	1.914648208
277	1.91464807
278	1.914648208
279	1.914648208
280	1.914648208
281	1.914648208
282	1.914648208
283	1.914648208
284	1.914648208
285	1.914648208
286	1.914648208
287	1.914648208
288	1.914648208
289	1.914648208
290	1.914648208
291	1.914648208
292	1.914648208
293	1.914648208
294	1.914648208
295	1.914648208
296	1.914648208
297	1.914648208
298	1.914648208
299	1.914648208
300	1.914648208
301	1.914648208
302	1.914648208
303	1.914648208
304	1.914648208
305	1.914648208
306	1.914648208
307	1.914648208
308	1.914648208
309	1.914648208
310	1.914648208
311	1.914648208
312	1.914648208
313	1.914648208
314	1.914648208
315	1.914648208
316	1.914648208
317	1.914648208
318	1.914648208
319	1.914648208
