Model,silhouette,Calinski_Harabasz,Davis_Bouldin
BGM Model,0.035543846811044076,3805.9641707930505,3.6185836746342326
LightGBM,0.10394243836475438,9423.900722591978,2.5766196153417766
XGBoost,0.10280579789118068,9352.37438013337,2.584650899021955
ExtraTrees,0.09938129661897419,9124.457982426911,2.5867593376058444
SVC,0.10738127137412277,9668.081483322652,2.558638577474362
KNeighbors,0.09519136332818705,8806.431520517774,2.605588006650953
Soft voting,0.10650373974394843,9611.472508271449,2.5554626191655068
